,City,region,Res_Comm,mkt_type,Quradate,National_exp,Alabama_exp,Sales_exp,Inventory_exp,Price_exp,Credit_exp
0,Dothan,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Rural,2010-01-15,2.0,2.0,3.0,2.0,3.0,3.0
13933,Harvest,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,3.0,3.0
705,Athens,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,4.0,5.0,4.0,4.0,3.0,5.0
11808,Orange Beach,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,4.0,4.0,3.0,3.0,3.0
13242,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,2.0,3.0,2.0,4.0,4.0,1.0
9905,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,1.0,1.0,1.0,1.0,1.0,1.0
4082,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,2.0,3.0,3.0
6965,Florence,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,3.0,2.0,3.0,2.0,3.0,3.0
4099,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Commercial,Suburban_Urban,2010-01-15,2.0,4.0,3.0,4.0,3.0,4.0
9926,Phenix City,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,1.0,3.0,4.0,3.0,2.0,3.0
1837,Rainbow City,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,2.0,2.0,3.0,3.0,3.0,3.0
13934,Tallassee,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Rural,2010-01-15,3.0,3.0,4.0,3.0,3.0,2.0
6938,Eclectic,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Rural,2010-01-15,4.0,4.0,4.0,4.0,3.0,3.0
13918,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,2.0,2.0,3.0,2.0,2.0,3.0
11785,Gulf Shores,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,4.0,3.0,2.0,2.0,2.0
13914,Cullman,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2010-01-15,3.0,4.0,4.0,3.0,3.0,2.0
11783,Orange Beach,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,2.0,2.0,2.0,2.0,2.0,2.0
13910,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,3.0,3.0
9947,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,2.0,3.0,4.0,1.0,3.0
1821,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,2.0,3.0,3.0,3.0,2.0,2.0
9953,Enterprise,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,4.0,5.0,4.0,3.0,2.0,2.0
13897,Bay Minette,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,4.0,4.0,2.0,3.0,3.0
4150,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,3.0,4.0,4.0,3.0,3.0,2.0
4111,Bay Minette,South_Mobile-Baldwin,Residential,Rural,2010-01-15,3.0,4.0,4.0,3.0,3.0,2.0
6886,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,2.0,3.0,3.0,3.0,3.0,3.0
13935,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,3.0,4.0,4.0,3.0,3.0,3.0
7004,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,2.0,3.0,2.0,2.0,2.0,3.0
1906,Gulf Shores,South_Mobile-Baldwin,Residential,Rural,2010-01-15,4.0,4.0,4.0,4.0,4.0,4.0
7103,Florence,North_Huntsville-Decatur-Florence,Commercial,Suburban_Urban,2010-01-15,2.0,2.0,3.0,2.0,2.0,1.0
7091,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,3.0,4.0
1898,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2010-01-15,3.0,3.0,3.0,2.0,2.0,2.0
7082,Mobile,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,3.0,4.0,3.0,3.0,3.0
3988,Dothan,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,1.0,1.0,1.0,1.0,1.0,1.0
13219,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,3.0,3.0
7051,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,3.0,3.0,3.0,2.0,3.0,3.0
4005,Decatur,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,2.0,1.0
4007,Birmingham,North_Huntsville-Decatur-Florence,Commercial,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,2.0,3.0
6990,Millbrook,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Commercial,Rural,2010-01-15,2.0,2.0,3.0,3.0,2.0,2.0
7033,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,4.0,3.0,3.0,4.0,3.0,2.0
13948,Foley,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,2.0,2.0,2.0,2.0,3.0,3.0
4028,Daphne,South_Mobile-Baldwin,Residential,Rural,2010-01-15,3.0,3.0,3.0,2.0,2.0,3.0
7021,Decatur,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,2.0,2.0,2.0,2.0,3.0,1.0
11820,Selma,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,3.0,3.0,3.0
11818,Florence,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,4.0,5.0,4.0,3.0,4.0,4.0
11816,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,3.0,2.0,3.0,2.0,2.0,2.0
688,Madison,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,3.0,3.0,2.0
9893,Fairhope,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,2.0,4.0,4.0,2.0,3.0,3.0
13946,cullman,North_Huntsville-Decatur-Florence,Residential,Rural,2010-01-15,4.0,4.0,4.0,4.0,4.0,3.0
4049,Dothan,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Commercial,Suburban_Urban,2010-01-15,3.0,3.0,3.0,4.0,4.0,3.0
7027,Orange Beach,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,2.0,2.0,2.0,3.0,2.0,3.0
754,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,4.0,5.0,4.0,4.0,4.0,4.0
11753,Guntersville,North_Huntsville-Decatur-Florence,Residential,Rural,2010-01-15,3.0,3.0,3.0,2.0,2.0,2.0
9982,Dothan,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Commercial,Rural,2010-01-15,3.0,4.0,4.0,4.0,3.0,2.0
11685,Rainbow City,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,4.0,4.0,4.0
1754,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,3.0,4.0,4.0,4.0,3.0,1.0
1753,Cullman,North_Huntsville-Decatur-Florence,Residential,Rural,2010-01-15,2.0,3.0,2.0,1.0,2.0,2.0
6714,Orange Beach,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,2.0,3.0,3.0,2.0,4.0,2.0
10092,Fairhope,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,2.0,2.0,2.0,2.0,1.0
1751,Eufaula,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Rural,2010-01-15,2.0,3.0,2.0,4.0,2.0,1.0
11676,Mobile,South_Mobile-Baldwin,Residential,Rural,2010-01-15,4.0,4.0,4.0,4.0,4.0,3.0
10097,Madison,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,4.0,5.0,4.0,4.0,3.0,3.0
6682,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,2.0,3.0,3.0,2.0,2.0,3.0
11660,Atlanta,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,2.0,3.0,2.0,3.0,2.0,2.0
1761,Mobile,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,4.0,4.0,3.0
6676,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,2.0,3.0,3.0
4306,Anniston,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,4.0,3.0,2.0,3.0,3.0
11634,Fairhope,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,4.0,3.0,4.0,3.0,3.0,3.0
11629,Orange Beach,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,2.0,3.0,2.0,3.0,2.0,4.0
841,Fairhope,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,3.0,2.0
6653,pelham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,4.0,4.0,3.0
6651,Bay Minette,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,4.0,4.0,3.0,3.0,4.0,3.0
11626,Gulf Shores,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,3.0,3.0
11620,Greenville,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,3.0,3.0,2.0
4350,Mobile,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,4.0,4.0,3.0,3.0,2.0,3.0
1717,Fairhope,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,3.0,4.0,3.0,2.0,3.0
10107,Cullman,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2010-01-15,3.0,4.0,3.0,3.0,2.0,3.0
6721,Mobile,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,3.0,4.0,3.0,2.0,3.0
13300,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,3.0,2.0,3.0,2.0,2.0,3.0
13297,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,4.0,4.0,4.0,3.0,3.0,3.0
6859,Prattville,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Commercial,Suburban_Urban,2010-01-15,3.0,3.0,3.0,2.0,2.0,3.0
9996,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,2.0,4.0,4.0,3.0,3.0
764,Mobile,South_Mobile-Baldwin,Commercial,Suburban_Urban,2010-01-15,4.0,3.0,4.0,3.0,3.0,3.0
11742,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,2.0,2.0,2.0,3.0,2.0,2.0
13270,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,2.0,3.0,4.0,2.0,2.0
10026,Gulf Shores,South_Mobile-Baldwin,Residential,Rural,2010-01-15,2.0,3.0,2.0,2.0,3.0,1.0
10051,MONTGOMERY,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,3.0,4.0,3.0,2.0,2.0,3.0
10052,dothan,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,3.0,3.0
6802,Fairhope,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,4.0,3.0,2.0
1794,Athens,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,4.0,4.0,4.0
11739,Madison,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,3.0,4.0,4.0,4.0,3.0,3.0
785,Oxford,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,4.0,2.0,1.0
10057,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,3.0,3.0,2.0
6775,Trussville,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,3.0,3.0,3.0
6773,Mobile,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,4.0,4.0,2.0,2.0,2.0
1781,Hoover,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,4.0,3.0,2.0,2.0,2.0
6770,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,2.0,3.0,2.0,2.0,2.0,1.0
11703,Semmes,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,2.0,3.0,4.0,3.0,3.0,3.0
4224,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,3.0,2.0,3.0,2.0,3.0,2.0
1777,Enterprise,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,3.0,4.0,3.0,3.0,3.0,3.0
4230,Enterprise,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,3.0,4.0,4.0,3.0,3.0,2.0
4247,Mobile,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,3.0,3.0,2.0
806,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,2.0,2.0
9855,Mobile,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,1.0,2.0,2.0,2.0,2.0,2.0
6641,"Birmingham,",North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,2.0,2.0,2.0,2.0,2.0,2.0
11895,Gulf Shores,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,4.0,4.0,3.0,4.0,3.0,3.0
643,Gulf Shores,South_Mobile-Baldwin,Commercial,Rural,2010-01-15,4.0,3.0,3.0,2.0,3.0,3.0
7480,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,2.0,2.0
9573,Wetumpka,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,2.0,2.0
12185,Mobile,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,4.0,4.0,4.0,3.0,3.0
9579,Demopolis,South_Mobile-Baldwin,Residential,Rural,2010-01-15,3.0,4.0,3.0,3.0,3.0,3.0
2051,Fairhope,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,2.0,2.0,4.0,4.0,2.0,3.0
3530,Robertsdale,South_Mobile-Baldwin,Residential,Rural,2010-01-15,1.0,2.0,1.0,1.0,1.0,1.0
3531,Fairhope,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,4.0,3.0
12183,Hoover,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,2.0,3.0,3.0,3.0,2.0,2.0
7440,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,4.0,3.0,3.0
12174,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,2.0,3.0,4.0,4.0,3.0,3.0
7481,Theodore,South_Mobile-Baldwin,Residential,Rural,2010-01-15,4.0,4.0,4.0,3.0,3.0,4.0
3556,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,2.0,3.0,3.0,3.0,2.0,3.0
7426,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,4.0,3.0,3.0,2.0,2.0,2.0
7424,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,2.0,2.0,2.0
9613,Mobile,South_Mobile-Baldwin,Commercial,Suburban_Urban,2010-01-15,4.0,4.0,4.0,4.0,3.0,3.0
12169,huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,2.0,4.0,2.0,2.0,4.0,4.0
3578,Enterprise,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,4.0,5.0,4.0,4.0,3.0,4.0
3579,Gulf Shores,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,2.0,2.0,3.0,3.0,3.0,1.0
9641,Opp,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Rural,2010-01-15,2.0,3.0,3.0,2.0,2.0,1.0
7391,Athens,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,3.0,3.0,1.0
2021,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,3.0,3.0,4.0,4.0,2.0,3.0
12142,Magnolia Springs,South_Mobile-Baldwin,Residential,Rural,2010-01-15,3.0,2.0,3.0,2.0,2.0,2.0
13131,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2010-01-15,3.0,3.0,3.0,2.0,2.0,2.0
2015,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Commercial,Suburban_Urban,2010-01-15,3.0,3.0,4.0,2.0,2.0,4.0
3508,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,4.0,2.0,3.0
9558,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,1.0,3.0,3.0,2.0,2.0,2.0
424,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,3.0,2.0,3.0,2.0,3.0,2.0
7612,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,3.0,4.0,3.0
433,Pelham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,2.0,4.0,3.0,2.0,3.0,2.0
9498,Northport,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,1.0,1.0,1.0,2.0,2.0,1.0
12277,Dothan,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,2.0,2.0,2.0
3414,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,1.0,2.0,4.0,2.0,2.0,1.0
9501,Bay Minette,South_Mobile-Baldwin,Residential,Rural,2010-01-15,3.0,3.0,3.0,3.0,2.0,3.0
3415,Irondale,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,2.0,2.0,1.0
9512,tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,4.0,3.0,3.0,4.0,3.0,3.0
14081,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,3.0,2.0,3.0,2.0,2.0
14061,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,4.0,3.0,3.0
7551,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,4.0,3.0,2.0
12236,Huntsville,North_Huntsville-Decatur-Florence,Commercial,Suburban_Urban,2010-01-15,2.0,3.0,2.0,3.0,2.0,2.0
7533,Daphne,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,4.0,4.0,4.0,4.0,3.0
14072,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,4.0,3.0,4.0,3.0,2.0,2.0
13098,Daphne,South_Mobile-Baldwin,Residential,Rural,2010-01-15,3.0,3.0,3.0,3.0,3.0,2.0
470,Dora,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2010-01-15,2.0,3.0,4.0,3.0,3.0,3.0
3477,Pell City,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Rural,2010-01-15,4.0,4.0,4.0,4.0,3.0,3.0
7512,Florence,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,2.0,2.0,2.0,3.0,3.0,3.0
7508,bessemer,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,2.0,2.0,3.0,2.0,2.0,1.0
3486,Monroeville,South_Mobile-Baldwin,Residential,Rural,2010-01-15,2.0,2.0,2.0,3.0,2.0,3.0
9556,FAIRHOPE,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,2.0,2.0,3.0,3.0,2.0,2.0
9536,Trussville,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,4.0,2.0,3.0
12119,Mobile,South_Mobile-Baldwin,Residential,Rural,2010-01-15,2.0,2.0,2.0,2.0,2.0,3.0
9650,tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,3.0,4.0,4.0,3.0,3.0,4.0
7368,Jacksonville,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,3.0,5.0,3.0
3783,Fairhope,South_Mobile-Baldwin,Residential,Rural,2010-01-15,3.0,4.0,3.0,2.0,2.0,3.0
9767,Trussville,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,3.0,2.0,2.0,2.0,1.0
3784,Daphne,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,3.0,3.0
7205,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,5.0,5.0,4.0,4.0,4.0
3787,Mobile,South_Mobile-Baldwin,Commercial,Suburban_Urban,2010-01-15,4.0,4.0,4.0,3.0,3.0,3.0
3804,odenville,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,4.0,4.0,3.0
9796,birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,2.0,2.0,3.0,4.0,2.0,3.0
9800,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,4.0,5.0,4.0,4.0,4.0,4.0
3826,Orange Beach,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,2.0,3.0,2.0
1931,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,2.0,3.0,4.0,2.0,2.0,3.0
12034,Pike Road,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,3.0,3.0
614,Foley,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,4.0,4.0,3.0,3.0,3.0
9817,Daphne,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,2.0,2.0,2.0
3893,Huntsville,North_Huntsville-Decatur-Florence,Commercial,Suburban_Urban,2010-01-15,4.0,4.0,4.0,4.0,4.0,3.0
13993,Trussville,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2010-01-15,3.0,4.0,5.0,3.0,3.0,2.0
13989,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2010-01-15,5.0,5.0,5.0,5.0,4.0,3.0
7135,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,2.0,2.0,2.0
11909,Mobile,South_Mobile-Baldwin,Residential,Rural,2010-01-15,2.0,2.0,2.0,3.0,3.0,1.0
3940,Jacksonville,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,3.0,3.0,4.0
7121,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,3.0,4.0,4.0,4.0,2.0,4.0
639,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,4.0,3.0,4.0,3.0,2.0,3.0
5518,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,4.0,4.0,4.0,3.0,2.0,3.0
11951,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,3.0,2.0
9735,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,4.0,4.0,3.0,3.0,3.0
9711,tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,2.0,2.0,2.0
13179,Northport,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,2.0,3.0,2.0,3.0,2.0,2.0
9674,Orange Beach,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,4.0,3.0,3.0
14031,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,2.0,2.0,1.0
14030,Monroeville,South_Mobile-Baldwin,Residential,Rural,2010-01-15,2.0,2.0,2.0,2.0,2.0,2.0
2002,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2010-01-15,4.0,4.0,4.0,4.0,2.0,3.0
3657,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2010-01-15,2.0,3.0,3.0,2.0,2.0,3.0
551,Gulf Shores,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,3.0,3.0,3.0,3.0,3.0,2.0
7355,Mobile,South_Mobile-Baldwin,Residential,Suburban_Urban,2010-01-15,2.0,2.0,4.0,4.0,2.0,2.0
