,City,region,Res_Comm,mkt_type,Quradate,National_exp,Alabama_exp,Sales_exp,Inventory_exp,Price_exp,Credit_exp
1487,Odenville,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2011-04-15,3.0,3.0,3.0,3.0,3.0,3.0
4957,Gulf Shores,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-04-15,4.0,4.0,4.0,5.0,3.0,3.0
6374,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-04-15,3.0,2.0,2.0,3.0,3.0,3.0
2991,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-04-15,3.0,3.0,3.0,4.0,3.0,3.0
3035,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-04-15,3.0,3.0,4.0,2.0,3.0,3.0
8220,Auburn,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Rural,2011-04-15,5.0,5.0,5.0,3.0,3.0,3.0
2316,Mobile,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-04-15,3.0,3.0,3.0,2.0,3.0,3.0
12449,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-04-15,2.0,3.0,3.0,3.0,3.0,2.0
4825,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-04-15,3.0,3.0,3.0,3.0,3.0,3.0
1554,Atmore,South_Mobile-Baldwin,Residential,Rural,2011-04-15,2.0,2.0,3.0,3.0,2.0,3.0
991,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-04-15,3.0,3.0,3.0,3.0,3.0,3.0
10276,Hoover,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-04-15,4.0,5.0,5.0,4.0,4.0,4.0
14253,Gulf Shores,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-04-15,2.0,4.0,4.0,4.0,3.0,3.0
2323,Guntersville,North_Huntsville-Decatur-Florence,Residential,Rural,2011-04-15,3.0,2.0,3.0,2.0,3.0,3.0
3090,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-04-15,3.0,3.0,2.0,2.0,2.0,2.0
10185,Spanish Fort,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-07-15,2.0,2.0,4.0,3.0,3.0,3.0
1534,Pell Citu,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2011-07-15,3.0,3.0,3.0,3.0,2.0,3.0
10629,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,3.0,3.0
5735,Dothan,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,3.0,3.0
4826,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-07-15,2.0,2.0,2.0,2.0,2.0,2.0
10669,Hoover,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,2.0,2.0,3.0,2.0,2.0,3.0
7194,montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Commercial,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,2.0,1.0
13663,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Commercial,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,3.0,3.0
903,Dothan,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,2.0,2.0,3.0,2.0,2.0,2.0
11826,cleveland,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2011-07-15,2.0,2.0,3.0,2.0,2.0,2.0
13998,Trussville,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2011-07-15,3.0,4.0,4.0,3.0,2.0,3.0
9802,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,4.0,4.0,3.0,3.0,2.0
6514,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-07-15,2.0,3.0,3.0,3.0,2.0,3.0
5399,TUSCALOOSA,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,3.0,3.0
4674,New Hope ,North_Huntsville-Decatur-Florence,Commercial,Rural,2011-07-15,3.0,4.0,4.0,4.0,3.0,3.0
13602,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-07-15,4.0,4.0,4.0,4.0,4.0,3.0
1195,Decatur,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-07-15,3.0,2.0,2.0,2.0,2.0,2.0
14002,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,3.0,3.0,4.0,2.0,2.0,3.0
11520,Auburn,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,3.0,4.0,4.0,4.0,2.0,3.0
